id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,runner_peak_stretch,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
27,,SUIUSDT,LONG,CLOSED,0.7000000000000001,0.7022,0.702,655.2201520080996,20.0,13104.403040161993,18720.575771659987,VERY_STRONG,0.079,0.1197,0.0514,55.33,48.65,22.3744,23.0486,0.281,0.2818,BULLISH,0.0546,0.0398,23.8302,24.926,57.0,54.3,50.3,0.291,46.3,43.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,0.5913,0.4373,68.2,18.2,78.9,-0.6742,4.0,HEALTHY_BULL,HEALTHY_BULL,,-0.1992,23.856398869792635,18.14044394388851,0.5955,-0.3317,4.5e-05,-0.3289,0.4535,0.2492,-0.167,2026-06-06T11:47:52.333301,,367077863.96457,13104.403040161993,367077.86396457,False,,-0.1151,,,,,,,,,2.358792547229159,5.91551473808684,8.274307285315999,32.91095941233559,0.25114428571428277,0.25114428571428277,-0.32002714285714623,0.7022,0.7000000000000001,0.0,0.384,0.1721,2026-06-06T11:47:57.870034,2026-06-06T11:43:16.596712,-0.113,RECOVERED,1,0.45,,True,,-0.0143,False,,,,1.0,1.0,W6,False,,,0,,0.3982,0.1721,True,0.7054,0.6967,2026-06-06T12:03:31.796078,2026-06-06T12:30:58.260339,0.7084,-0.5344,15.56,43.0,35.71,-0.2059,-0.1344,0.7084,28.98,0.0656,24.46,0.0799,,,36.84,-0.2201,2026-06-06T12:27:37.358353,-0.2059,,,,0.1513,0.1799,0.2227,0.5656,0.1513,,,,,,,2026-06-06T12:04:03.136005,0.4513,2026-06-06T11:57:57.865131,0.1084,2026-06-06T11:58:00.896741,0.1084,2026-06-06T11:57:57.865131,0.1084,2026-06-06T11:58:00.896741,0.1084,2026-06-06T11:57:47.774388,0.1513,2026-06-06T11:58:00.896741,0.1084,0.2156,trailing,22.21,0.1084,trailing,35.32,0.2156,trailing,22.21,0.1656,trailing,22.4,0.2941,stretch,21.12,0.2799,stretch,21.31,0.2799,stretch,21.31,0.4227,stretch,20.89,0.1799,ema5_cross,22.33,0.5469,0.38056905832490295,False,,,,False,,,,,,,,,-0.1915,5.63,-0.0773,4.52,2026-06-06T11:35:22,2026-06-06T11:47:57.907398,ATR_FIXED_TP L1,MAKER,TAKER,True,
26,,DOGEUSDT,LONG,CLOSED,0.08120000000000001,0.08146,0.08132,655.2201520080996,20.0,13104.403040161993,161384.2738936206,VERY_STRONG,0.1487,0.1253,0.0715,59.08,50.68,23.441,24.0665,0.3258,0.3269,BULLISH,0.0859,0.0398,23.8302,24.926,57.0,54.3,50.3,0.291,46.3,43.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,0.5913,0.3825,68.2,18.2,91.0,-0.6255,4.0,HEALTHY_BULL,HEALTHY_BULL,,-0.1992,24.44795656755848,17.956070095812542,0.4672,-0.226,4.5e-05,-0.2214,0.5245,0.2492,-0.167,2026-06-06T11:47:51.920558,,779589848.64398,13104.403040161993,500000.0,False,,-0.1151,,,,,,,,,2.358792547229159,5.9158633281184505,8.274655875347609,33.68525533699315,0.2570529556650201,0.2570529556650201,-0.1860972906403976,0.08146,0.08120000000000001,0.0,0.3594,0.2283,2026-06-06T11:47:51.945632,2026-06-06T11:37:25.468843,0.0724,NEVER,1,0.45,,True,,-0.0615,False,,,,1.0,1.0,W6,False,,,0,,0.3717,0.2283,True,0.08167,0.0809,2026-06-06T12:03:43.904834,2026-06-06T12:30:58.260339,0.5158,-0.4325,15.86,43.1,36.94,-0.1862,-0.2231,0.5158,0.0,0.2326,11.07,-0.1246,,,38.05,-0.1492,2026-06-06T12:27:36.349100,-0.1123,,,,0.1587,0.1094,0.2449,0.2941,0.1587,,,,,,,,,2026-06-06T11:56:54.315615,0.0602,2026-06-06T12:04:57.560373,0.171,2026-06-06T11:56:59.363388,0.0355,2026-06-06T12:04:57.560373,0.171,2026-06-06T12:04:47.487436,0.1833,2026-06-06T11:57:07.442939,0.0725,0.2658,trailing,29.37,-0.0842,trailing,48.36,0.2658,trailing,29.37,0.2158,trailing,29.46,0.2818,stretch,29.07,0.2818,stretch,29.32,0.2572,stretch,29.37,0.3927,stretch,28.7,0.1217,ema5_cross,29.85,0.4264,0.3058914967706447,False,,,,False,,,,,,,,,0.0232,11.38,0.0232,11.38,2026-06-06T11:35:14,2026-06-06T11:47:51.970733,ATR_FIXED_TP L1,MAKER,TAKER,True,
25,,HYPEUSDT,LONG,CLOSED,59.222,59.408,59.397,1310.4403040161992,20.0,26208.806080323986,442.5518570856098,VERY_STRONG,0.0681,0.1275,0.0467,55.29,47.66,27.7781,29.7924,0.2953,0.2962,BULLISH,0.0657,0.0398,23.8302,24.926,57.0,54.3,50.3,0.291,46.3,43.4,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,,,,0.5913,0.573,68.2,18.2,83.8,-2.0142,3.0,HEALTHY_BULL,HEALTHY_BULL,,-0.1992,19.907249601097973,20.55171704229756,0.5879,-0.4525,4.5e-05,-0.5305,0.4709,0.2492,-0.167,2026-06-06T11:43:42.233958,,1735976969.786,26208.806080323986,500000.0,False,,-0.1337,,,,,,,,,4.717585094458318,11.831004326583859,16.548589421042177,65.76605599688122,0.25093114045456066,0.25093114045456066,-0.2841020397825136,59.408,59.222,0.0,0.3684,0.3843,2026-06-06T11:43:44.358663,2026-06-06T11:41:09.794813,-0.1114,RECOVERED,1,0.45,,True,,-0.0017,False,,,,2.0,1.0,BTC1H_1hPullback_L,False,,,0,,0.37,0.3843,True,59.935,59.025,2026-06-06T12:03:36.840146,2026-06-06T12:24:12.304087,1.1409,-0.3956,19.84,40.43,34.29,-0.0073,-0.3382,1.1409,12.93,0.5753,11.82,0.5499,,,37.67,-0.0326,2026-06-06T12:27:35.343355,-0.2639,,,,0.3929,0.4655,0.8117,0.4301,0.2156,,,,,,,2026-06-06T12:04:32.371750,0.7458,2026-06-06T11:57:03.408100,0.4402,2026-06-06T12:04:10.194770,0.9333,2026-06-06T11:57:03.408100,0.4402,2026-06-06T12:04:22.290865,0.788,2026-06-06T12:04:22.290865,0.788,2026-06-06T11:53:24.868631,0.6614,0.6934,trailing,17.79,0.5409,trailing,31.14,0.6934,trailing,17.79,0.6434,trailing,17.79,0.4436,stretch,11.69,0.7323,stretch,17.26,0.6344,stretch,17.79,0.7323,stretch,17.26,0.3524,ema5_cross,21.79,0.7577,0.4180340150506997,False,,,,False,,,,,,,,,,,,,2026-06-06T11:35:12,2026-06-06T11:43:44.364336,ATR_FIXED_TP L1,MAKER,TAKER,True,
24,,SOLUSDT,LONG,CLOSED,62.409,62.61,62.56,655.2201520080996,20.0,13104.403040161993,209.9761739518658,VERY_STRONG,0.1237,0.1402,0.0666,58.23,48.87,24.6579,25.6213,0.3599,0.3612,BULLISH,0.0789,0.0398,23.8302,24.926,57.0,54.3,50.3,0.291,46.3,43.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,0.5913,0.5757,68.2,18.2,81.0,-0.9635,4.0,HEALTHY_BULL,HEALTHY_BULL,,-0.1992,23.632222321986955,18.518298007413872,0.5128,-0.4213,4.5e-05,-0.4668,0.5688,0.2492,-0.167,2026-06-06T11:47:58.294615,,3331059884.0528,13104.403040161993,500000.0,False,,-0.1151,,,,,,,,,2.358792547229159,5.915973713006843,8.274766260236003,33.930444704089126,0.2589240013459605,0.2589240013459605,-0.2856240606322739,62.61,62.409,0.0,0.4437,0.2302,2026-06-06T11:47:58.362443,2026-06-06T11:38:00.351700,0.0442,RECOVERED,1,0.45,,True,,-0.0016,False,,,,1.0,1.0,W6,False,,,0,,0.4596,0.2302,True,62.72,61.98,2026-06-06T12:03:36.840146,2026-06-06T12:30:56.242884,0.4353,-0.7504,15.63,42.96,36.83,-0.2857,-0.4139,0.4353,0.02,0.2751,10.96,-0.1896,,,36.83,-0.2857,2026-06-06T12:27:38.369577,-0.4139,,,,0.0668,0.0828,0.179,0.2911,0.0668,,,,,,,2026-06-06T12:09:49.194647,0.211,2026-06-06T11:48:30.656313,0.0508,2026-06-06T11:48:30.656313,0.0508,2026-06-06T11:56:39.182686,0.0347,2026-06-06T12:10:29.702833,0.1469,2026-06-06T11:48:48.870649,0.0668,2026-06-06T11:48:59.996588,0.0828,-0.4139,window,,-0.4139,window,,-0.4139,window,,-0.4139,window,,-0.4139,window,,-0.4139,window,,-0.4139,window,,-0.4139,window,,-0.4139,window,,,0.4077415441898033,False,,,,False,,,,,,,,,0.0507,12.77,,,2026-06-06T11:34:58,2026-06-06T11:47:58.448177,ATR_FIXED_TP L1,MAKER,TAKER,True,
23,,LAUSDT,LONG,CLOSED,0.07025,0.07049,0.0703,646.3869636086087,20.0,12927.739272172174,184024.75832273555,STRONG_BUY,0.2822,0.0653,0.1016,58.8,50.71,17.3564,17.2727,0.1789,0.1792,BULLISH,0.0852,0.1191,35.4078,34.5545,66.8,68.2,69.0,0.2493,50.9,47.1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,0.4919,0.6511,81.8,13.6,66.4,0.0837,3.0,STRONG_BULL,STRONG_BULL,,0.4323,26.63141176992147,18.337281730812744,0.546,0.0751,-0.000909,0.0971,0.3465,0.2339,-0.0683,2026-06-06T09:02:54.424125,,57441202.964393,12927.739272172174,57441.202964393,False,,0.4022,2026-06-06T08:58:09.584727,-0.3888,,,,,,,5.817482672477478,5.837357346376333,11.654840018853811,32.51110197860092,0.25148327402133835,0.25148327402133835,-0.44571174377224226,0.07049,0.07025,0.0,0.5509,0.0067,2026-06-06T09:02:54.424807,2026-06-06T08:59:25.294242,-0.1489,RECOVERED,1,0.45,,True,,-0.0853,False,,,,1.0,1.0,,False,-0.38879786476868583,,0,,0.565,0.0067,True,0.07096,0.06984,2026-06-06T09:40:16.825238,2026-06-06T09:47:41.325298,0.9207,-0.6736,37.37,44.78,45.01,-0.5598,-0.5598,0.9207,10.16,-0.3035,4.56,-0.4174,,,45.01,-0.5598,2026-06-06T09:05:47.591331,-0.1185,,,,0.2943,0.0523,-0.4032,-0.2466,0.5506,,,,,,,2026-06-06T09:03:59.800173,0.0523,2026-06-06T09:03:58.793880,0.0808,2026-06-06T09:03:59.800173,0.0523,2026-06-06T09:28:46.540932,0.4225,2026-06-06T09:28:46.540932,0.4225,2026-06-06T09:28:46.540932,0.4225,2026-06-06T09:04:55.158565,0.0523,0.2152,trailing,7.71,-0.1348,trailing,9.37,0.2152,trailing,7.71,0.1652,trailing,7.71,0.0808,stretch,7.71,0.0523,stretch,7.74,-0.0615,stretch,8.08,-0.0615,stretch,8.08,-0.1327,ema5_cross,9.22,0.6724,0.29630685732431505,False,,,,False,,,,,,,,,,,-0.3888,3.38,2026-06-06T08:56:14,2026-06-06T09:02:54.431721,ATR_FIXED_TP L1,TAKER_FALLBACK,TAKER,True,
22,,HUSDT,LONG,CLOSED,0.5912000000000001,0.58835,0.5884,692.3595329261254,20.0,13847.190658522508,23422.17635068083,STRONG_BUY,0.4412,0.0621,0.1516,56.99,50.46,21.8672,21.8793,0.2427,0.2433,BULLISH,0.1126,0.1491,31.0109,30.0193,69.9,69.0,49.0,0.2869,51.2,47.1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,,0.8221,0.7344,86.4,9.1,64.4,-0.0121,4.0,STRONG_BULL,STRONG_BULL,,0.3546,23.881037065785147,15.361678577748886,0.9613,0.6622,-0.000909,0.8559,0.4576,0.4781,-0.0636,,,95289385.07505,13847.190658522508,95289.38507505,False,,0.374,2026-06-06T08:38:09.247525,-0.4823,,,2026-06-06T08:40:54.174572,-0.7173,,,2.492494318534052,6.20119685516538,8.693691173699431,-75.44689377314025,-0.5448534336941846,0.13988565629228328,-0.7342133795669873,0.5924,0.5912000000000001,0.0,0.3695,0.1898,2026-06-06T08:36:56.946311,2026-06-06T08:40:54.309627,-0.3504,ENDED_NEG,1,0.45,,False,,-0.0203,False,,,,1.0,1.0,,False,-0.48229702300406596,,0,,-0.0983,-0.0406,True,0.59323,0.57912,2026-06-06T09:03:49.729593,2026-06-06T09:22:43.209334,0.2804,-2.1063,22.48,41.37,0.0,-0.5045,-1.7528,0.0,0.0,-0.5045,26.12,-0.107,,,0.32,-0.5282,2026-06-06T09:05:46.585550,-0.0139,,,,-0.3624,-0.4842,-0.1848,-0.2508,-0.3336,,,,,,,,,,,,,,,,,,,,,-1.7528,window,,-1.7528,window,,-1.7528,window,,-1.7528,window,,-1.7528,window,,-1.7528,window,,-1.7528,window,,-1.7528,window,,-1.7528,window,,,0.4034734276034399,False,,,,False,,,,,,,,,-0.5364,8.98,-0.4975,7.86,2026-06-06T08:32:21,2026-06-06T08:41:20.493580,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
21,,INJUSDT,SHORT,CLOSED,5.02,5.0,5.0,420.82811797955355,30.0,12624.843539386606,2514.9090715909574,STRONG_BUY,0.5354,0.0999,0.1695,33.92,41.88,28.027,27.5872,0.4825,-0.4802,BEARISH,-0.2072,-0.0696,23.053,23.6376,38.3,43.8,38.5,0.2758,41.2,42.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,W2,,,0.8678,0.8377,9.1,88.6,6.8,0.4398,4.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.3448,11.484321713469702,23.182572568044677,0.6851,-0.6293,5e-05,-0.8839,-0.7481,-0.2263,-0.3386,2026-06-06T04:06:46.777496,0.08936354581672218,97863623.7379,12624.843539386606,97863.62373790001,False,,-0.3575,,,,,,,,,5.681179592723972,5.658545411079654,11.339725003803625,38.95845642801446,0.3085856573705095,0.7470298804780842,-0.09,5.02,4.978,0.0,1.6129,-0.3299,2026-06-06T04:07:39.346271,2026-06-06T04:06:39.963840,0.7627,NEVER,1,0.45,,True,,0.2781,False,,,,2.0,1.5,W2,True,,0.3085856573705095,0,,1.1658,-0.3299,False,5.017,4.853,2026-06-06T04:16:18.369403,2026-06-06T04:45:43.976934,3.2367,-0.0302,8.65,38.07,,,1.8224,,9.63,0.667,41.17,2.4,,,,,,,,,,0.4279,0.5475,0.8662,1.1251,2.2805,2026-06-06T04:07:39.288009,,,,,,2026-06-06T04:11:04.623542,0.3482,2026-06-06T04:10:54.282607,0.5076,2026-06-06T04:10:56.327942,0.4877,2026-06-06T04:10:57.350725,0.4279,2026-06-06T04:10:57.350725,0.4279,2026-06-06T04:10:57.350725,0.4279,2026-06-06T04:11:27.191402,0.5076,0.497,trailing,0.99,0.147,trailing,1.11,0.497,trailing,0.99,0.447,trailing,0.99,0.6471,stretch,3.72,0.5275,stretch,4.2,0.3482,stretch,4.41,0.3482,stretch,4.41,0.1291,ema5_cross,9.52,1.6129,1.1657805372811936,False,,,,False,,,,,,,,,,,,,2026-06-06T04:06:39,2026-06-06T04:07:39.355439,TRAILING_STOP L1,TAKER_FALLBACK,TAKER,True,
20,,XRPUSDT,SHORT,CLOSED,1.0794,1.0731,1.0728,1090.5845376719585,30.0,32717.536130158755,30310.854298831535,VERY_STRONG,0.5015,0.1129,0.1735,29.84,35.11,34.2434,33.0267,0.2367,-0.2362,BEARISH,-0.1949,-0.0696,23.053,23.6376,38.3,43.8,38.5,0.2758,41.2,42.0,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,C1,,-0.7,0.8678,0.8188,9.1,88.6,4.1,1.2166,2.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.3448,7.548173578070226,22.680470080774228,0.457,-0.4966,5e-05,-0.7468,-0.5218,-0.2263,-0.3386,2026-06-06T04:06:56.947471,0.09537150268667798,1326995247.1542,32717.536130158755,500000.0,False,,-0.4692,,,,,,,,,14.722891258571439,14.636959986634253,29.35985124520569,161.59853083743212,0.49392023346303243,0.8461260885677226,-0.10853715026866574,1.0794,1.0693,0.0,0.8361,-0.7346,2026-06-06T04:13:37.262679,2026-06-06T04:06:26.934823,0.4224,NEVER,2,0.9,,True,,0.2034,False,,,,2.0,1.5,C1,False,,0.49392023346303243,0,,0.4417,-0.772,False,1.078,1.0513,2026-06-06T04:16:18.369403,2026-06-06T04:38:17.035717,2.5133,0.0397,1.47,23.45,,,1.9482,,27.23,2.0964,39.6,1.2441,,,,,,,,,,0.5122,0.1787,0.9754,1.6147,2.2168,2026-06-06T04:09:14.392017,,,,,,2026-06-06T04:15:59.223601,0.4103,2026-06-06T04:14:50.226448,0.4937,2026-06-06T04:14:50.226448,0.4937,2026-06-06T04:14:50.226448,0.4937,2026-06-06T04:14:50.226448,0.4937,2026-06-06T04:14:52.342360,0.5956,2026-06-06T04:14:50.226448,0.4937,0.5961,trailing,8.38,0.2461,trailing,9.8,0.5961,trailing,8.38,0.5461,trailing,8.41,0.429,stretch,5.2,0.3825,stretch,9.61,0.3176,stretch,9.73,0.2898,stretch,9.78,0.1509,ema5_cross,9.85,1.1169,0.8803017496154906,False,,,,False,,,,,,,,,,,,,2026-06-06T04:06:19,2026-06-06T04:14:49.611118,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
19,,WLFIUSDT,SHORT,CLOSED,0.05516,0.0555,0.05549,617.9196608924749,30.0,18537.589826774245,336069.4312323105,VERY_STRONG,0.4468,0.1221,0.1452,31.29,31.01,32.3619,30.594,0.2091,-0.2086,BEARISH,-0.2256,-0.1302,22.5424,21.2685,37.6,33.8,41.6,0.2988,41.5,44.0,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,W1+W2+W4,,,0.8019,1.4519,4.5,95.5,31.2,1.7679,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.294,8.707265117409952,30.290359904211527,0.4247,-0.4614,5e-05,-0.7595,-0.4752,-0.3243,-0.3056,,,65030302.66364,18537.589826774245,65030.30266364,False,,-0.3161,2026-06-06T03:51:17.293587,-0.5616,,,2026-06-06T03:57:43.637649,-0.7067,,,8.34191542204841,8.393334045026954,16.735249467075363,-130.99885608606093,-0.706666062364032,0.01882342277011886,-0.706666062364032,0.05516,0.0551,0.0,0.3364,-0.482,2026-06-06T03:41:41.844091,2026-06-06T03:57:43.639671,-0.2565,ENDED_NEG,1,0.45,,True,,0.0181,False,,,,2.0,1.5,W1+W2+W4,True,-0.5615681653371942,,0,,-0.2565,0.0643,True,0.05558,0.05393,2026-06-06T04:02:36.972518,2026-06-06T04:34:53.395264,2.1399,-0.8514,4.88,37.16,4.87,-0.8333,1.7592,0.0,4.87,-0.8333,19.55,0.5989,,,4.87,-0.8333,,,,,,-0.5251,-0.5976,-0.8333,1.0159,1.4328,,,,,,,2026-06-06T04:11:05.644980,0.7077,2026-06-06T04:11:04.623542,0.6714,2026-06-06T04:11:05.644980,0.7077,2026-06-06T04:11:04.623542,0.6714,2026-06-06T04:11:05.644980,0.7077,2026-06-06T04:11:05.644980,0.7077,2026-06-06T04:11:09.783230,0.7077,0.6896,ema13,26.42,0.6896,ema13,26.42,0.6896,ema13,26.42,0.6896,ema13,26.42,0.6896,ema13,26.42,0.6896,ema13,26.42,0.6896,ema13,26.42,0.6896,ema13,26.42,0.6896,ema13,26.42,1.0105,0.34842519326056703,False,,,,False,,,,,,,,,-0.217,1.13,-0.5978,10.11,2026-06-06T03:41:14,2026-06-06T03:57:43.641944,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
18,,SOLUSDT,SHORT,CLOSED,62.71,61.86,61.84,1215.048688528384,30.0,36451.46065585152,581.2703022779704,VERY_STRONG,0.7076,0.1918,0.2484,33.11,34.89,32.2376,30.7303,0.2227,-0.2222,BEARISH,-0.3044,-0.1302,22.5424,21.2685,37.6,33.8,41.6,0.2988,41.5,44.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,W1+W2,,,0.8019,1.2847,4.5,95.5,17.3,1.5073,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.294,8.813956718876511,27.78311662339128,0.5389,-0.4737,5e-05,-0.7895,-0.6609,-0.3243,-0.3056,2026-06-06T04:05:12.880267,,3661606624.2501,36451.46065585152,500000.0,False,,-0.5399,2026-06-06T04:01:36.807388,-0.4888,,,,,,,16.403157295133184,16.18082140451186,32.583978699645044,461.4957782366306,1.2660556530059024,1.904199489714559,-0.6962366448732301,62.71,61.46,0.0,1.1431,-0.999,2026-06-06T04:15:19.188201,2026-06-06T04:02:29.205739,-0.4665,RECOVERED,5,2.25,,True,,0.0797,False,,,,2.0,1.5,W1+W2,False,-0.4888398979429118,1.2660556530059024,0,,0.4891,-0.999,True,61.95,60.28,2026-06-06T04:16:11.217560,2026-06-06T04:45:44.986716,3.785,1.1219,0.09,29.65,,,3.4182,,10.17,1.9352,38.33,2.286,,,,,,,,,,1.2654,1.3452,2.1266,2.7644,3.6415,2026-06-06T04:05:44.587494,,2026-06-06T04:07:35.515550,,,,2026-06-06T04:24:08.687463,2.0787,2026-06-06T04:20:59.326565,2.1584,2026-06-06T04:20:59.326565,2.1584,2026-06-06T04:24:11.716529,2.0468,2026-06-06T04:24:11.716529,2.0468,2026-06-06T04:24:12.725839,2.0309,2026-06-06T04:24:15.755575,2.0149,0.8246,trailing,26.83,1.3042,trailing,35.14,2.985,trailing,66.49,2.785,trailing,67.97,1.1544,stretch,30.62,1.2336,stretch,35.21,1.1698,stretch,35.26,3.4182,window,,3.1631,ema5_cross,65.67,1.4278,1.185489880523526,False,,,,False,,,,,,,,,-0.3134,14.94,-0.6484,21.68,2026-06-06T03:40:54,2026-06-06T04:16:05.753654,TRAILING_STOP L5,TAKER_FALLBACK,TAKER,True,
