binance_order_id,cell_lev_multiplier,cell_multiplier,cell_multiplier_capped,cell_multiplier_source,close_initiated_at,close_reason,closed_at,closing_in_progress,confidence,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,current_price,current_tp_level,direction,dynamic_tp_target,ema13_strict_held_pnl_pct,ema5_went_negative,entry_adx,entry_adx_delta,entry_adx_prev,entry_atr_pct,entry_bear_pct,entry_btc_1h_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_atr_pct,entry_btc_dist_from_ema13_pct,entry_btc_ema20_slope,entry_btc_regime,entry_btc_regime_started_at,entry_btc_rsi,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_trend_gap_pct,entry_bull_pct,entry_dist_from_ema13_pct,entry_ema20_slope,entry_ema50_slope,entry_ema5_stretch,entry_ema_gap_5_8,entry_fee,entry_funding_rate,entry_gap,entry_global_volume_ratio,entry_macro_trend,entry_neg_di,entry_order_type,entry_pair_ema20_ema50_gap_pct,entry_pair_volume_24h_usd,entry_pair_volume_ratio,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,entry_pos_di,entry_price,entry_price_vs_ema5_pct,entry_quality_score,entry_range_position,entry_rsi,entry_rsi_prev,exit_btc_regime,exit_btc_trend_gap_pct,exit_ema5_crossed,exit_ema5_slope_pct,exit_fee,exit_order_type,exit_pair_ema20_ema50_gap_pct,exit_price,exit_price_vs_ema5_pct,exit_slippage_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,first_rsi2_minutes,first_rsi2_pnl,first_rsi3_minutes,first_rsi3_pnl,fl1_origin,fl2_flag_pnl,fl2_flagged,fl2_flagged_at,high_price_since_entry,id,investment,is_paper,leverage,low_price_since_entry,no_expansion_last_check,notes,notional_value,opened_at,pair,pattern_cell_source,pattern_fixed_sl_pct,pattern_fixed_tp_pct,peak_ema5_dist_pct,peak_ema5_gap,peak_ema5_slope_pct,peak_pnl,peak_reached_at,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_tick_a_pnl,phantom_tick_a_triggered_at,phantom_tick_b_pnl,phantom_tick_b_triggered_at,phantom_tick_c_pnl,phantom_tick_c_triggered_at,phantom_tick_d_pnl,phantom_tick_d_triggered_at,phantom_tick_e_pnl,phantom_tick_e_triggered_at,phantom_tick_f_pnl,phantom_tick_f_triggered_at,phantom_tick_g_pnl,phantom_tick_g_triggered_at,pnl,pnl_percentage,post_arm_min_pnl_at,post_arm_min_pnl_pct,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_final_pnl,post_exit_floor_before_signal_regain,post_exit_peak_before_signal_lost,post_exit_peak_minutes,post_exit_peak_pnl,post_exit_pnl_at_15min,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_30min,post_exit_pnl_at_5min,post_exit_pnl_at_signal_lost,post_exit_pnl_at_signal_regained,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_signal_lost_minutes,post_exit_signal_regained_minutes,post_exit_trough_minutes,post_exit_trough_pnl,protective_sl_order_id,protective_tp_order_id,quantity,regime_comeback_at,regime_comeback_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_opposite_at,regime_opposite_pnl,signal_active_at_close,signal_lost_flag_pnl,signal_lost_flagged,signal_lost_flagged_at,status,total_fee,trailing_confirmed_at,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trough_ema5_dist_pct,trough_pnl,trough_reached_at
,1.0,1.0,False,UNMATCHED,,TRAILING_STOP L2,2026-05-27T12:50:25.725358,False,STRONG_BUY,,,,,0.0698,2,LONG,0.9,,NEVER,21.8532,1.1038,20.7494,0.7323,16.2,-0.0721,27.1461,26.7022,0.1411,0.0314,0.025,HEALTHY_BULL,,51.8,44.0,39.9,55.1,50.4,0.0025,75.7,0.4908,0.2094,-0.3028,0.2006,0.1542,2.618082063106458,-3.3e-05,0.311,0.814,BULLISH,11.800559453515913,TAKER_FALLBACK,-0.4019,52273390.505859,0.9472,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25.1930016939314,0.06947,0.201,5.0,75.0,57.21,59.3,CHOPPY_FLAT,-0.008,False,0.8881,2.6293880170280346,TAKER,,0.06977,0.5243,,,,,,0.02,-0.09,,,,,False,,0.07003,27,290.89800701182867,True,20.0,0.06947,,,5817.960140236573,2026-05-27T12:46:25,NILUSDT,UNMATCHED,,,1.1031,0.0,0.6782,0.7157406074564432,2026-05-27T12:49:23.394252,2026-05-27T12:48:45.324542,,2026-05-27T12:48:56.785004,,,,,,0.2123,2026-05-27T12:50:30.643299,0.2411,2026-05-27T12:50:27.572183,0.2411,2026-05-27T12:50:27.572183,0.1835,2026-05-27T12:50:31.674538,0.1835,2026-05-27T12:50:34.735975,0.1979,2026-05-27T12:50:35.755334,0.2123,2026-05-27T12:50:57.144825,19.876871967813415,0.3416467539945224,,,,,-0.7378,,0.6009,4.7,0.6009,-0.1476,0.3274,-0.018,-0.9681,0.3131,-0.5506,,2026-05-27T12:50:26.549607,0.2987,2.03,0.0539,5.06,0.2411,0.06995,0.06848,2026-05-27T12:55:07.997519,2026-05-27T13:20:00.936649,17.11,,29.58,-1.5151,,,83747.8068264945,,,2026-05-27T12:46:58.669108,-0.1763,,,True,,False,,CLOSED,5.247470080134493,,0.3416467539945224,0,0.1574,-0.27704692673097037,2026-05-27T12:46:49.647055
,1.0,1.0,False,W6,,EMA13_CROSS_EXIT L1,2026-05-27T13:05:31.977317,False,VERY_STRONG,,,,,9.168,1,LONG,0.45,-0.2529169835922937,ENDED_NEG,24.8737,1.5201,23.3535,0.2404,18.9,-0.0704,24.9364,24.2256,0.1415,0.0754,0.0251,HEALTHY_BULL,,53.9,44.5,39.9,58.4,34.1,-0.0243,75.7,0.3024,0.135,0.0273,0.1335,0.0946,3.3004354128872917,-3.3e-05,0.2133,1.3566,BULLISH,15.01972781372382,TAKER_FALLBACK,0.0984,97993120.241,1.5253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,39.23785679411862,9.203,0.1337,4.0,65.6,63.76,66.6,HEALTHY_BEAR,-0.0615,True,-0.2524,3.2882421276500686,TAKER,,9.169,-0.1202,,2026-05-27T12:55:50.202533,-0.2529,2026-05-27T13:04:13.109961,-0.3289,12.03,0.0078,14.38,-0.1769,,,False,,9.225,26,366.7150458763657,True,20.0,9.203,,,7334.300917527315,2026-05-27T12:34:04,AVAXUSDT,W6,,,0.3417,0.0,0.3167,0.14894490926871937,2026-05-27T12:39:46.174184,,,,,,,-0.2421,2026-05-27T12:56:01.153893,,,,,,,,,,,,,,,-33.684866956588735,-0.4592784961425505,,,0.0,-0.4594,-1.2092,,0.0,0.46,-0.3725,-0.6659,-0.4594,-0.4812,-0.905,-0.6768,-0.4594,,2026-05-27T13:05:32.553021,-0.4594,4.0,-0.6985,2.0,-0.4812,9.177,9.076,2026-05-27T13:05:59.918321,2026-05-27T13:43:54.047062,0.0,,38.36,-1.47,,,796.9467475309481,2026-05-27T12:36:39.405088,-0.014,2026-05-27T12:35:37.526509,-0.2095,2026-05-27T12:56:01.153705,-0.2421,False,,False,,CLOSED,6.58867754053736,,,0,-0.3297,-0.5570286862979383,2026-05-27T13:05:26.783299
,1.0,1.0,False,W6,,EMA13_CROSS_EXIT L1,2026-05-27T12:56:29.201110,False,VERY_STRONG,,,,,83.92,1,LONG,0.45,-0.19239696433448694,ENDED_NEG,22.08,1.433,20.647,0.2614,18.9,-0.0704,24.9364,24.2256,0.1415,0.0754,0.0251,HEALTHY_BULL,,53.9,44.5,39.9,58.4,34.1,-0.0243,75.7,0.2336,0.1058,0.0372,0.1129,0.0702,1.3201741651549168,-3.3e-05,0.1531,1.3566,BULLISH,15.812155966381797,MAKER,0.0979,1433666707.9632,1.9174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,37.5251381430826,84.199,0.113,3.0,60.2,61.29,63.77,HEALTHY_BEAR,-0.0281,True,-0.1683,3.2894991609104802,TAKER,,83.92,-0.1619,,2026-05-27T12:47:24.616280,-0.1924,2026-05-27T12:48:29.983603,-0.2636,12.36,-0.0262,10.36,0.0094,,,False,,84.41,25,366.7150458763657,True,20.0,84.199,,,7334.300917527315,2026-05-27T12:33:44,SOLUSDT,W6,,,0.3462,0.0,0.204,0.1874840318768614,2026-05-27T12:39:39.379007,,,,,,,-0.3942,2026-05-27T12:56:02.204544,,,,,,,,,,,,,,,-28.91245549675738,-0.3942087435717721,,,0.0,-0.3944,-1.3564,,0.0,6.29,-0.2875,-0.6913,-0.4181,-0.3825,-0.7507,-0.335,-0.3944,,2026-05-27T12:56:29.752247,-0.3944,,,0.0,-0.3944,84.01,83.06,2026-05-27T13:02:46.940021,2026-05-27T13:41:19.635016,0.0,,44.84,-1.4157,,,87.10674613151362,2026-05-27T12:36:39.402065,0.0094,2026-05-27T12:35:37.524981,-0.1924,2026-05-27T12:56:02.204346,-0.3942,False,,False,,CLOSED,4.609673326065397,,,0,-0.2768,-0.4298225869665881,2026-05-27T12:55:51.913351
,1.0,1.0,False,UNMATCHED,,STOP_LOSS_WIDE L1,2026-05-27T12:36:10.794698,False,STRONG_BUY,,,,,0.09106,1,LONG,0.45,-0.7047132752992461,ENDED_NEG,15.4272,0.5283,14.8989,0.7323,13.5,-0.0641,24.9364,24.2256,0.1385,0.1279,0.0309,HEALTHY_BULL,,58.3,46.2,39.9,58.4,34.1,-0.0179,78.4,0.7088,0.1746,0.1942,0.3955,0.1682,1.3201741651549168,-3.3e-05,0.3921,1.221,BULLISH,13.188013054429401,MAKER,0.4392,61658927.27663,1.0169,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.756009031056983,0.09190000000000001,0.3971,5.0,95.8,59.46,55.72,CHOPPY_FLAT,-0.0314,True,0.0196,3.2663177453982497,TAKER,,0.09095,-0.5652,,2026-05-27T12:34:51.627075,-0.7047,2026-05-27T12:36:07.678683,-0.7591,2.38,-0.6286,,,,,False,,0.09190000000000001,24,366.7150458763657,True,20.0,0.09190000000000001,,,7334.300917527315,2026-05-27T12:32:42,1000LUNCUSDT,UNMATCHED,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,-80.40353077509064,-1.0962671381936957,,,4.93,-1.0423,-1.6517,,0.0,24.07,-0.705,-1.3035,-1.1838,-1.1185,-1.1838,-1.0423,-1.2164,,2026-05-27T12:36:11.746387,-1.1294,31.35,-1.5211,0.01,-1.1294,0.09131,0.08997,2026-05-27T13:00:15.106455,2026-05-27T13:15:42.856031,0.93,,39.53,-2.1631,,,79807.40933109155,,,2026-05-27T12:35:37.523478,-0.6503,,,True,,False,,CLOSED,4.586491910553167,,,0,-0.5652,-1.0962671381936957,2026-05-27T12:36:10.792234
,1.0,1.0,False,W6,,EMA13_CROSS_EXIT L1,2026-05-27T13:00:31.881130,False,VERY_STRONG,,,,,1.3321,1,LONG,0.45,-0.1949160293897187,ENDED_NEG,22.5346,1.3541,21.1805,0.2047,13.5,-0.0641,24.9364,24.2256,0.1385,0.1279,0.0309,HEALTHY_BULL,,58.3,46.2,39.9,58.4,34.1,-0.0179,78.4,0.2357,0.093,-0.0327,0.1164,0.0712,3.3004354128872917,-3.3e-05,0.135,1.221,BULLISH,16.471043335609885,TAKER_FALLBACK,0.0046,502417459.6552,1.7883,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,38.558529991585885,1.3338,0.1166,3.0,61.7,62.32,63.23,HEALTHY_BEAR,-0.0345,True,-0.1121,3.2962288300398566,TAKER,,1.3321,-0.0544,,2026-05-27T12:48:28.813674,-0.1949,2026-05-27T12:55:50.216030,-0.2174,13.46,0.0299,3.48,0.0374,,,False,,1.3368,23,366.7150458763657,True,20.0,1.3338,,,7334.300917527315,2026-05-27T12:32:38,XRPUSDT,W6,,,0.2761,0.0,0.2103,0.13482006297794957,2026-05-27T12:39:44.045457,,,,,,,-0.1949,2026-05-27T12:56:02.200213,,,,,,,,,,,,,,,-15.944626126115548,-0.21739803568751195,,,0.0,-0.2175,-1.0497,,0.0,0.39,-0.1725,-0.5998,-0.2175,-0.2025,-0.8922,-0.3524,-0.2175,,2026-05-27T13:00:32.393898,-0.2175,9.0,-0.6298,1.99,-0.2025,1.3327,1.318,2026-05-27T13:00:55.748255,2026-05-27T13:43:53.037643,0.0,,43.35,-1.2746,,,5498.80110775777,2026-05-27T12:36:39.398990,-0.0001,2026-05-27T12:35:37.521926,-0.1649,2026-05-27T12:56:02.200000,-0.1949,False,,False,,CLOSED,6.596664242927148,,,0,-0.1642,-0.2848440545809085,2026-05-27T12:59:25.065855
,1.0,1.0,False,W1+W4,,STOP_LOSS_WIDE L1,2026-05-27T13:09:03.162995,False,VERY_STRONG,,,,,17.285,1,LONG,0.45,-0.3214894546290337,ENDED_NEG,24.0751,2.1204,21.9547,0.5048,13.5,-0.0625,24.9364,24.2256,0.1376,0.1578,0.0342,HEALTHY_BULL,,60.1,46.6,39.9,58.4,34.1,-0.0143,75.7,0.4929,0.2198,0.1784,0.1833,0.1468,1.3201741651549168,-3.3e-05,0.4409,1.1403,BULLISH,9.615025910305155,MAKER,0.3166,60976843.70606,1.1878,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,30.149807966909105,17.401,0.1836,5.0,68.6,64.28,63.96,HEALTHY_BEAR,-0.088,True,-0.0782,3.2776750974142455,TAKER,,17.281,-0.5335,,2026-05-27T12:56:23.172805,-0.3215,2026-05-27T13:08:59.296809,-0.4306,14.8,-0.1492,10.8,-0.109,,,False,,17.449,22,366.7150458763657,True,20.0,17.401,,,7334.300917527315,2026-05-27T12:31:18,VVVUSDT,W1+W4,,,0.4014,0.0,0.335,0.21272208493765768,2026-05-27T12:37:49.628175,2026-05-27T12:37:49.626866,0.09783788288028673,,,,,-0.2066,2026-05-27T12:56:02.176316,0.3048,2026-05-27T13:17:40.288612,0.3048,2026-05-27T13:17:39.264754,0.3048,2026-05-27T13:17:40.288612,0.2876,2026-05-27T13:17:46.356006,0.2876,2026-05-27T13:17:46.356006,0.2876,2026-05-27T13:17:46.356006,0.0864,2026-05-27T13:18:08.779436,-55.17632809156089,-0.7523052123441238,,,0.46,-0.8963,1.2013,,0.0,43.58,1.3967,0.5519,-0.7699,-0.5227,0.0577,-0.1435,-0.8963,,2026-05-27T13:09:04.852019,-0.7469,,,0.46,-0.8963,17.655,17.243,2026-05-27T13:52:39.385348,2026-05-27T13:09:37.247762,0.46,,0.54,-0.971,,,421.4873235749276,2026-05-27T12:36:39.395752,-0.017,2026-05-27T12:35:37.520123,-0.1147,2026-05-27T12:56:02.176115,-0.2066,True,,False,,CLOSED,4.597849262569162,,,0,-0.5335,-0.7523052123441238,2026-05-27T13:09:03.160374
,1.0,1.0,False,UNMATCHED,,STOP_LOSS_WIDE L1,2026-05-27T12:17:08.367488,False,STRONG_BUY,,,,,0.5056,1,SHORT,0.45,-0.620908783110939,ENDED_NEG,27.9137,0.7361,27.1776,0.7393,73.7,-0.0868,21.3696,20.1207,0.0802,-0.0937,-0.0433,HEALTHY_BEAR,,35.6,39.6,39.9,34.1,45.0,-0.0455,23.7,-0.5512,-0.2963,-0.748,0.1902,0.1539,1.3772271936926732,-0.000112,0.663,0.9923,BEARISH,25.153954752964474,MAKER,-1.238,72564778.84115,0.7338,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.438192809720482,0.5021,-0.1899,4.0,10.5,33.85,33.74,HEALTHY_BEAR,-0.0992,True,0.0035,3.4787261270677803,TAKER,,0.5073,-0.7588,,2026-05-27T12:10:29.593505,-0.6209,2026-05-27T12:17:08.299721,-0.8202,5.03,-0.3021,4.04,-0.2822,,,False,,0.5021,21,382.56310935907584,True,20.0,0.5002,,,7651.262187181517,2026-05-27T12:06:13,GRASSUSDT,UNMATCHED,,,0.5508,0.0,-0.4709,0.31558095996813645,2026-05-27T12:06:46.215001,2026-05-27T12:06:40.154051,0.09640250946027146,,,,,,,,,,,,,,,,,,,,,-84.09627073431105,-1.0991163114917313,,,4.12,-0.9991,-0.1427,,0.0,5.96,0.1959,-0.6605,-0.6804,-0.9393,-0.8995,-1.3376,-0.7003,,2026-05-27T12:21:49.052333,-1.3376,6.13,-1.8156,0.02,-1.0588,0.512,0.5008,2026-05-27T12:23:06.461009,2026-05-27T12:27:17.657811,1.12,,10.15,-2.0347,,,15238.522579529013,,,,,,,True,,False,,CLOSED,4.855953320760453,,,0,-0.7588,-1.0991163114917313,2026-05-27T12:17:08.365124
,1.0,1.0,False,C4,,STOP_LOSS_WIDE L1,2026-05-27T10:34:18.891673,False,STRONG_BUY,,,,,1.048,1,LONG,0.45,-1.2226345609065166,ENDED_NEG,18.9269,0.5161,18.4108,0.7905,47.4,-0.0538,17.5666,17.0608,0.0807,0.1142,0.0388,CHOPPY_WEAK,,65.2,47.3,43.6,63.5,53.5,0.083,50.0,0.7773,0.1944,0.4695,0.4866,0.1496,3.6065370873406057,-0.000112,0.4103,0.7785,BULLISH,17.260686871352643,TAKER_FALLBACK,0.6493,261988075.728,0.6086,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,29.16167623804547,1.059,0.4889,3.0,85.3,59.48,51.6,CHOPPY_WEAK,0.0796,False,0.5096,3.565669811563375,TAKER,,1.047,-0.2674,,2026-05-27T10:34:18.884639,-1.2226,,,,,,,,,False,,1.06,20,400.7263430378451,True,20.0,1.059,,,8014.526860756901,2026-05-27T10:27:19,FILUSDT,C4,,,0.956,0.0,0.5421,0.004386213408886866,2026-05-27T10:27:20.298597,,,,,,,,,,,,,,,,,,,,,,,-97.98837529274996,-1.2226345609065166,,,6.16,-1.5064,-0.09,,0.0,41.71,0.0989,-0.9399,-1.2231,-1.0343,-0.4677,-1.3176,-1.5064,,,,2.09,-1.1287,1.09,-1.3176,1.061,1.041,2026-05-27T11:16:01.738643,2026-05-27T10:42:00.722294,6.16,,7.69,-1.7897,,,7568.0140328204925,,,,,,,True,,False,,CLOSED,7.172206898903981,,,0,-0.2674,-1.2226345609065166,2026-05-27T10:34:18.889477
,1.0,1.0,False,W1,,EMA13_CROSS_EXIT L1,2026-05-27T10:16:57.103434,False,STRONG_BUY,,,,,0.00842,1,SHORT,0.45,-0.3161038420363973,ENDED_NEG,22.235,0.7581,21.477,0.279,75.7,-0.0839,27.1435,27.7776,0.0915,-0.1411,-0.0496,HEALTHY_BEAR,,36.3,40.1,42.4,38.2,58.2,0.0387,10.8,-0.5064,-0.1563,0.0153,0.2575,0.1328,3.6881008257752965,-0.000373,0.3121,0.7055,BEARISH,27.722518183182615,TAKER_FALLBACK,-0.0774,54271321.096756,0.883,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,14.252768581231686,0.008407,-0.2569,3.0,2.8,29.74,34.13,CHOPPY_WEAK,0.0564,True,0.0989,3.693803848343999,TAKER,,0.00842,-0.141,,2026-05-27T09:38:32.454429,-0.3161,2026-05-27T10:14:48.305033,-0.2209,12.02,-0.2328,9.02,-0.1257,,,False,,0.008407,19,409.7889806416996,True,20.0,0.008377,,,8195.779612833992,2026-05-27T09:13:38,PENGUUSDT,W1,,,0.2525,0.0,-0.171,0.26700606637324587,2026-05-27T10:01:29.763349,2026-05-27T10:01:27.604881,0.08850303318662293,,,,,-0.2447,2026-05-27T09:40:18.494609,,,,,,,,,,,,,,,-20.05528816012488,-0.2447026287617564,,,0.01,-0.2446,-0.5182,,0.0,44.79,0.2074,-0.2684,-0.2922,-0.2446,-0.0305,-0.1971,-0.2446,,2026-05-27T10:16:58.100750,-0.2446,8.03,-0.2922,0.01,-0.2446,0.008446,0.008382,2026-05-27T11:01:44.559409,2026-05-27T10:40:04.812379,0.01,,23.12,-0.5539,,,974875.652769596,,,2026-05-27T09:30:12.241691,0.029,2026-05-27T09:40:18.494464,-0.2447,False,,False,,CLOSED,7.381904674119296,,,0,-0.1644,-0.3518044486737384,2026-05-27T09:39:08.553485
,1.5,2.0,False,C1,,TRAILING_STOP L1,2026-05-27T09:12:43.284671,False,STRONG_BUY,,,,,0.4006,1,SHORT,0.45,,NEVER,23.493,2.1811,21.3119,0.4326,67.6,-0.0823,27.7885,28.4739,0.0935,-0.1413,-0.0409,HEALTHY_BEAR,,37.6,40.4,42.4,34.5,63.7,0.0586,10.8,-0.6773,-0.2714,-0.2956,0.289,0.1856,10.470315906845492,-0.000373,0.5868,0.8151,BEARISH,28.62436470249939,TAKER_FALLBACK,-0.5475,157955497.10179,1.3371,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,9.076988295141566,0.4019,-0.2882,2.0,12.9,27.35,30.17,HEALTHY_BEAR,0.0377,False,-0.5525,10.420817025972127,TAKER,,0.4,0.7106,,,,,,,,,,,,False,,0.4019,18,775.5789560626291,True,30.0,0.399,,,23267.368681878874,2026-05-27T09:09:16,ONDOUSDT,C1,,,0.963,0.0,-0.5525,0.6318972381189246,2026-05-27T09:12:43.269312,2026-05-27T09:12:42.091951,,2026-05-27T09:12:43.207165,,,,,,0.3081,2026-05-27T09:13:17.878355,0.3081,2026-05-27T09:13:14.837642,0.3081,2026-05-27T09:13:14.837642,0.2086,2026-05-27T09:13:31.056929,0.2086,2026-05-27T09:13:31.056929,0.2335,2026-05-27T09:13:30.045490,0.2086,2026-05-27T09:13:45.261622,89.10638011910791,0.3829671560089469,,,,,0.6316,,,23.25,0.7311,0.1837,0.1837,0.2583,0.0095,0.2086,,,2026-05-27T09:30:12.244924,0.1339,9.93,-0.1149,7.93,-0.0154,0.4026,0.3986,2026-05-27T09:35:58.581742,2026-05-27T09:57:02.397577,,,44.31,-0.2642,,,57893.42792206737,,,,,,,True,,False,,CLOSED,20.89113293281762,,0.3829671560089469,0,0.3389,-0.21446504105498893,2026-05-27T09:10:08.198684
